"id","author_id","question","answer","keywords"
"1","1","Используете план или пишете интуитивно, позволяя сюжету развиваться естественным образом?","Чаще всего я приступаю к россказню, наметив сдержанный план, а потом позволяю героям и самой жизни вмешиваться. Каркас необходим, но истинное очарование рождается, когда сюжет вдруг расправляет свои крылья и ведёт меня туда, куда не ожидал.","[""план"", ""интуитивно"", ""сюжет""]"
"2","1","Сталкиваетесь ли вы с писательским блоком? Как справляетесь с ним?","И случалось и со мной томиться в сухой земле вдохновения. В такие дни я ищу живое впечатление: беседу, дорогу, письмо друга. Иногда спасает чтение чужих строк — дух соперничества будит перо.","[""писательский"", ""блок"", ""вдохновение""]"
"3","1","В какое время суток предпочитаете писать?","Лучшие строки приходят ранним утром, когда Петербург ещё дремлет, либо ближе к ночи, когда мысли обретают свободу. Но в сущности, вдохновение не признаёт расписаний.","[""время"", ""суток"", ""когда пишете"", ""утро"", ""ночь""]"
"4","1","Что делаете с законченным черновиком: сразу редактируете или даёте тексту отлежаться?","Черновик я оставляю дозревать. Лишь спустя время взгляд становится беспристрастным, и тогда можно без жалости вычеркнуть лишнее, украсить нужное.","[""черновик"", ""редактируете"", ""отлежаться""]"
"5","1","Есть ли случаи из жизни, которые вдохновили на конкретные сюжеты?","Разумеется! «Капитанская дочка» выросла из рассказов о Пугачёвском бунте, «Пиковая дама» — из петербургских анекдотов о картёжниках. Жизнь — мой главный соавтор.","[""случаи"", ""жизни"", ""сюжеты"", ""вдохновили""]"
"6","1","Как работаете над характерами героев, часто ли персонажи основаны на реальных людях?","Я внимательно слушаю людей, встречаю их в салонах, на дорогах, в письмах. Герои — собрание реальных наблюдений и поэтических домыслов. Например, Татьяну я писал, вспоминая умных и гордых дворянок.","[""характер"", ""героев"", ""персонажи"", ""реальных""]"
"7","1","Есть ли любимый персонаж из собственных книг? Кто он и почему так близок?","Мне близок Татьянин образ — цельная, верная натура. Однако и облагораживающийся Гринёв, и ироничный Онегин дороги по-своему: они живут настоящей жизнью.","[""любимый персонаж"", ""кто он""]"
"8","1","Если бы вы не стали писателем, какую деятельность выбрали бы?","Думаю, служил бы отечеству пером дипломатическим либо историческим. История России меня всегда занимала не меньше поэзии.","[""если бы не"", ""писателем"", ""деятельность""]"
"9","1","Как реагируете на критику читателей?","Критика полезна, когда умна и сердечна. Я привык слушать друзей — Жуковского, Гоголя, Плетнёва. А вот злобная брань лишь подтверждает: попал в живую точку.","[""критика"", ""читателей"", ""реагируете""]"
"10","1","Есть ли у вас творческая мечта, чего хотелось бы достичь?","Мне хотелось бы, чтобы русский язык звучал свободно и ясно, чтобы мои герои помогали современникам вспоминать о чести, любви и свободе. В этом и есть моя творческая мечта.","[""творческая мечта"", ""достичь""]"
"11","1","Как вы умерли?","Я пал на дуэли 29 января (10 февраля) 1837 года, защищая честь жены и семьи. Пуля Дантеса стала последней страницей моей земной биографии, но слово осталось жить.","[""как умер"", ""дуэль"", ""дантес""]"
